"","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"46517",46517,46517,68761,1917-12-03,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68761/uuml_indurain_ver01/sn85058396/1917/12/03/ed-1/seq-8/0?user_id=6","sn85058396",1917,"12","03","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46518",46518,46518,68762,1915-08-06,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68762/uuml_indurain_ver01/sn85058396/1915/08/06/ed-1/seq-8/0?user_id=6","sn85058396",1915,"08","06","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46519",46519,46519,68763,1890-11-07,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68763/uuml_james_ver01/sn83045555/1890/11/07/ed-1/seq-2/0?user_id=6","sn83045555",1890,"11","07","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46520",46520,46520,68764,1890-08-02,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68764/uuml_james_ver01/sn83045555/1890/08/02/ed-1/seq-2/0?user_id=6","sn83045555",1890,"08","02","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46521",46521,46521,68765,1891-03-16,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68765/uuml_james_ver01/sn83045555/1891/03/16/ed-1/seq-1/0?user_id=6","sn83045555",1891,"03","16","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46522",46522,46522,68769,1891-06-15,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68769/uuml_james_ver01/sn83045555/1891/06/15/ed-1/seq-2/0?user_id=6","sn83045555",1891,"06","15","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46523",46523,46523,68773,1890-08-13,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68773/uuml_james_ver01/sn83045555/1890/08/13/ed-1/seq-1/0?user_id=6","sn83045555",1890,"08","13","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46524",46524,46524,68774,1891-09-28,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68774/uuml_james_ver01/sn83045555/1891/09/28/ed-1/seq-1/0?user_id=6","sn83045555",1891,"09","28","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46525",46525,46525,68775,1892-02-02,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68775/uuml_james_ver01/sn83045555/1892/02/02/ed-1/seq-3/0?user_id=6","sn83045555",1892,"02","02","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46526",46526,46526,68776,1892-03-23,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68776/uuml_james_ver01/sn83045555/1892/03/23/ed-1/seq-4/0?user_id=6","sn83045555",1892,"03","23","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46527",46527,46527,68777,1893-02-07,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68777/uuml_james_ver01/sn83045555/1893/02/07/ed-1/seq-8/0?user_id=6","sn83045555",1893,"02","07","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46528",46528,46528,68778,1892-07-05,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68778/uuml_james_ver01/sn83045555/1892/07/05/ed-1/seq-4/0?user_id=6","sn83045555",1892,"07","05","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46529",46529,46529,68779,1891-11-28,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68779/uuml_james_ver01/sn83045555/1891/11/28/ed-1/seq-1/0?user_id=6","sn83045555",1891,"11","28","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46530",46530,46530,68781,1892-03-14,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68781/uuml_james_ver01/sn83045555/1892/03/14/ed-1/seq-1/0?user_id=6","sn83045555",1892,"03","14","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46531",46531,46531,68782,1892-03-24,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68782/uuml_james_ver01/sn83045555/1892/03/24/ed-1/seq-4/0?user_id=6","sn83045555",1892,"03","24","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46532",46532,46532,68783,1891-04-27,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68783/uuml_james_ver01/sn83045555/1891/04/27/ed-1/seq-1/0?user_id=6","sn83045555",1891,"04","27","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46533",46533,46533,68784,1891-08-17,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68784/uuml_james_ver01/sn83045555/1891/08/17/ed-1/seq-1/0?user_id=6","sn83045555",1891,"08","17","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46534",46534,46534,68785,1892-06-29,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68785/uuml_james_ver01/sn83045555/1892/06/29/ed-1/seq-2/0?user_id=6","sn83045555",1892,"06","29","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46535",46535,46535,68786,1891-10-12,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68786/uuml_james_ver01/sn83045555/1891/10/12/ed-1/seq-1/0?user_id=6","sn83045555",1891,"10","12","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46536",46536,46536,68787,1899-12-15,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68787/uuml_james_ver01/sn85058217/1899/12/15/ed-1/seq-3/0?user_id=6","sn85058217",1899,"12","15","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46537",46537,46537,68788,1906-05-04,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68788/uuml_james_ver01/sn85058217/1906/05/04/ed-1/seq-3/0?user_id=6","sn85058217",1906,"05","04","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46538",46538,46538,68789,1900-11-09,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68789/uuml_james_ver01/sn85058217/1900/11/09/ed-1/seq-7/0?user_id=6","sn85058217",1900,"11","09","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46539",46539,46539,68790,1900-01-12,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68790/uuml_james_ver01/sn85058217/1900/01/12/ed-1/seq-3/0?user_id=6","sn85058217",1900,"01","12","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46540",46540,46540,68791,1901-05-17,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68791/uuml_james_ver01/sn85058217/1901/05/17/ed-1/seq-2/0?user_id=6","sn85058217",1901,"05","17","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46541",46541,46541,68792,1901-06-14,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68792/uuml_james_ver01/sn85058217/1901/06/14/ed-1/seq-3/0?user_id=6","sn85058217",1901,"06","14","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46542",46542,46542,68793,1899-08-11,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68793/uuml_james_ver01/sn85058217/1899/08/11/ed-1/seq-2/0?user_id=6","sn85058217",1899,"08","11","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46543",46543,46543,68795,1900-08-24,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68795/uuml_james_ver01/sn85058217/1900/08/24/ed-1/seq-2/0?user_id=6","sn85058217",1900,"08","24","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46544",46544,46544,68796,1920-06-22,"The Ogden standard-examiner","Ogden","Uta","https://articleextractor.org/pages//68796/uuml_julich_ver01/sn85058393/1920/06/22/ed-1/seq-3/0?user_id=6","sn85058393",1920,"06","22","ed-1","Ogden,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46545",46545,46545,68797,1920-04-29,"The Ogden standard-examiner","Ogden","Uta","https://articleextractor.org/pages//68797/uuml_julich_ver01/sn85058393/1920/04/29/ed-1/seq-4/0?user_id=6","sn85058393",1920,"04","29","ed-1","Ogden,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46546",46546,46546,68798,1918-04-06,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68798/uuml_julich_ver01/sn85058396/1918/04/06/ed-1/seq-7/0?user_id=6","sn85058396",1918,"04","06","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46547",46547,46547,68799,1905-04-07,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68799/uuml_james_ver01/sn85058217/1905/04/07/ed-1/seq-4/0?user_id=6","sn85058217",1905,"04","07","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46548",46548,46548,68800,1918-05-20,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68800/uuml_julich_ver01/sn85058396/1918/05/20/ed-1/seq-10/0?user_id=6","sn85058396",1918,"05","20","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46549",46549,46549,68801,1907-02-01,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68801/uuml_james_ver01/sn85058217/1907/02/01/ed-1/seq-3/0?user_id=6","sn85058217",1907,"02","01","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46550",46550,46550,68802,1918-10-01,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68802/uuml_julich_ver01/sn85058396/1918/10/01/ed-1/seq-2/0?user_id=6","sn85058396",1918,"10","01","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46551",46551,46551,68803,1918-12-13,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68803/uuml_julich_ver01/sn85058396/1918/12/13/ed-1/seq-7/0?user_id=6","sn85058396",1918,"12","13","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46552",46552,46552,68804,1919-04-03,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68804/uuml_julich_ver01/sn85058396/1919/04/03/ed-1/seq-13/0?user_id=6","sn85058396",1919,"04","03","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46553",46553,46553,68805,1919-06-26,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68805/uuml_julich_ver01/sn85058396/1919/06/26/ed-1/seq-12/0?user_id=6","sn85058396",1919,"06","26","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46554",46554,46554,68806,1919-05-15,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68806/uuml_julich_ver01/sn85058396/1919/05/15/ed-1/seq-2/0?user_id=6","sn85058396",1919,"05","15","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46555",46555,46555,68808,1918-05-20,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68808/uuml_julich_ver01/sn85058396/1918/05/20/ed-1/seq-5/0?user_id=6","sn85058396",1918,"05","20","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46556",46556,46556,68809,1918-04-06,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68809/uuml_julich_ver01/sn85058396/1918/04/06/ed-1/seq-28/0?user_id=6","sn85058396",1918,"04","06","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46557",46557,46557,68810,1919-09-29,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68810/uuml_julich_ver01/sn85058396/1919/09/29/ed-1/seq-4/0?user_id=6","sn85058396",1919,"09","29","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46558",46558,46558,68812,1919-09-16,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68812/uuml_julich_ver01/sn85058396/1919/09/16/ed-1/seq-8/0?user_id=6","sn85058396",1919,"09","16","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46559",46559,46559,68813,1919-09-29,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68813/uuml_julich_ver01/sn85058396/1919/09/29/ed-1/seq-5/0?user_id=6","sn85058396",1919,"09","29","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46560",46560,46560,68815,1919-11-29,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68815/uuml_julich_ver01/sn85058396/1919/11/29/ed-1/seq-12/0?user_id=6","sn85058396",1919,"11","29","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46561",46561,46561,68816,1919-09-06,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68816/uuml_julich_ver01/sn85058396/1919/09/06/ed-1/seq-4/0?user_id=6","sn85058396",1919,"09","06","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46562",46562,46562,68817,1919-10-06,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68817/uuml_julich_ver01/sn85058396/1919/10/06/ed-1/seq-8/0?user_id=6","sn85058396",1919,"10","06","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46563",46563,46563,68818,1919-10-03,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68818/uuml_julich_ver01/sn85058396/1919/10/03/ed-1/seq-1/0?user_id=6","sn85058396",1919,"10","03","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46564",46564,46564,68819,1907-11-01,"The Coalville times","Coalville","Uta","https://articleextractor.org/pages//68819/uuml_james_ver01/sn85058217/1907/11/01/ed-1/seq-2/0?user_id=6","sn85058217",1907,"11","01","ed-1","Coalville,  Uta",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46565",46565,46565,68820,1919-09-30,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68820/uuml_julich_ver01/sn85058396/1919/09/30/ed-1/seq-1/0?user_id=6","sn85058396",1919,"09","30","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46566",46566,46566,68822,1919-09-29,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68822/uuml_julich_ver01/sn85058396/1919/09/29/ed-1/seq-1/0?user_id=6","sn85058396",1919,"09","29","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46567",46567,46567,68823,1920-04-03,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68823/uuml_julich_ver01/sn85058396/1920/04/03/ed-1/seq-2/0?user_id=6","sn85058396",1920,"04","03","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
"46568",46568,46568,68824,1896-01-31,"Deseret evening news","Great Salt Lake",NA,"https://articleextractor.org/pages//68824/uuml_kirilenko_ver01/sn83045555/1896/01/31/ed-1/seq-1/0?user_id=6","sn83045555",1896,"01","31","ed-1","Great Salt Lake, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,NA
"46569",46569,46569,68825,1920-02-10,"The Ogden standard","Ogden City","Uta 1913-1920","https://articleextractor.org/pages//68825/uuml_julich_ver01/sn85058396/1920/02/10/ed-1/seq-5/0?user_id=6","sn85058396",1920,"02","10","ed-1","Ogden City,  Uta 1913-1920",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"UT"
